structureId,chainId,structureTitle,pdbDoi,entityId,ligandId,ligandName,InChI,InChIKey,hetId,IC50,deltaG,uniprotAcc,uniprotRecommendedName,uniprotAlternativeNames
3AZL,J,Crystal Structure of Human Nucleosome Core Particle Containing H4K77Q mutation,10.2210/pdb3azl/pdb,5,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
3AZM,A,Crystal Structure of Human Nucleosome Core Particle Containing H4K79Q mutation,10.2210/pdb3azm/pdb,1,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P68431,Histone H3.1,Histone H3/a#Histone H3/b#Histone H3/c#Histone H3/d#Histone H3/f#Histone H3/h#Histone H3/i#Histone H3/j#Histone H3/k#Histone H3/l
3AZM,B,Crystal Structure of Human Nucleosome Core Particle Containing H4K79Q mutation,10.2210/pdb3azm/pdb,2,,,,,,,,P62805,Histone H4,
3AZM,C,Crystal Structure of Human Nucleosome Core Particle Containing H4K79Q mutation,10.2210/pdb3azm/pdb,3,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P04908,Histone H2A type 1-B/E,Histone H2A.2#Histone H2A/a#Histone H2A/m
3AZM,D,Crystal Structure of Human Nucleosome Core Particle Containing H4K79Q mutation,10.2210/pdb3azm/pdb,4,,,,,,,,P06899,Histone H2B type 1-J,Histone H2B.1#Histone H2B.r
3AZM,E,Crystal Structure of Human Nucleosome Core Particle Containing H4K79Q mutation,10.2210/pdb3azm/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P68431,Histone H3.1,Histone H3/a#Histone H3/b#Histone H3/c#Histone H3/d#Histone H3/f#Histone H3/h#Histone H3/i#Histone H3/j#Histone H3/k#Histone H3/l
3AZM,F,Crystal Structure of Human Nucleosome Core Particle Containing H4K79Q mutation,10.2210/pdb3azm/pdb,2,,,,,,,,P62805,Histone H4,
3AZM,G,Crystal Structure of Human Nucleosome Core Particle Containing H4K79Q mutation,10.2210/pdb3azm/pdb,3,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P04908,Histone H2A type 1-B/E,Histone H2A.2#Histone H2A/a#Histone H2A/m
3AZM,H,Crystal Structure of Human Nucleosome Core Particle Containing H4K79Q mutation,10.2210/pdb3azm/pdb,4,,,,,,,,P06899,Histone H2B type 1-J,Histone H2B.1#Histone H2B.r
3AZM,I,Crystal Structure of Human Nucleosome Core Particle Containing H4K79Q mutation,10.2210/pdb3azm/pdb,5,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
3AZM,J,Crystal Structure of Human Nucleosome Core Particle Containing H4K79Q mutation,10.2210/pdb3azm/pdb,5,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
3AZN,A,Crystal Structure of Human Nucleosome Core Particle Containing H4K91Q mutation,10.2210/pdb3azn/pdb,1,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P68431,Histone H3.1,Histone H3/a#Histone H3/b#Histone H3/c#Histone H3/d#Histone H3/f#Histone H3/h#Histone H3/i#Histone H3/j#Histone H3/k#Histone H3/l
3AZN,B,Crystal Structure of Human Nucleosome Core Particle Containing H4K91Q mutation,10.2210/pdb3azn/pdb,2,,,,,,,,P62805,Histone H4,
3AZN,C,Crystal Structure of Human Nucleosome Core Particle Containing H4K91Q mutation,10.2210/pdb3azn/pdb,3,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P04908,Histone H2A type 1-B/E,Histone H2A.2#Histone H2A/a#Histone H2A/m
3AZN,D,Crystal Structure of Human Nucleosome Core Particle Containing H4K91Q mutation,10.2210/pdb3azn/pdb,4,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P06899,Histone H2B type 1-J,Histone H2B.1#Histone H2B.r
3AZN,E,Crystal Structure of Human Nucleosome Core Particle Containing H4K91Q mutation,10.2210/pdb3azn/pdb,1,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P68431,Histone H3.1,Histone H3/a#Histone H3/b#Histone H3/c#Histone H3/d#Histone H3/f#Histone H3/h#Histone H3/i#Histone H3/j#Histone H3/k#Histone H3/l
3AZN,F,Crystal Structure of Human Nucleosome Core Particle Containing H4K91Q mutation,10.2210/pdb3azn/pdb,2,,,,,,,,P62805,Histone H4,
3AZN,G,Crystal Structure of Human Nucleosome Core Particle Containing H4K91Q mutation,10.2210/pdb3azn/pdb,3,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P04908,Histone H2A type 1-B/E,Histone H2A.2#Histone H2A/a#Histone H2A/m
3AZN,H,Crystal Structure of Human Nucleosome Core Particle Containing H4K91Q mutation,10.2210/pdb3azn/pdb,4,,,,,,,,P06899,Histone H2B type 1-J,Histone H2B.1#Histone H2B.r
3AZN,I,Crystal Structure of Human Nucleosome Core Particle Containing H4K91Q mutation,10.2210/pdb3azn/pdb,5,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
3AZN,J,Crystal Structure of Human Nucleosome Core Particle Containing H4K91Q mutation,10.2210/pdb3azn/pdb,5,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
3B6F,A,Nucleosome core particle treated with cisplatin,10.2210/pdb3b6f/pdb,3,,,,,,,,P84233,Histone H3.2,
3B6F,B,Nucleosome core particle treated with cisplatin,10.2210/pdb3b6f/pdb,4,,,,,,,,P62799,Histone H4,
3B6F,C,Nucleosome core particle treated with cisplatin,10.2210/pdb3b6f/pdb,5,,,,,,,,P06897,Histone H2A type 1,
3B6F,D,Nucleosome core particle treated with cisplatin,10.2210/pdb3b6f/pdb,6,,,,,,,,P02281,Histone H2B 1.1,
3B6F,E,Nucleosome core particle treated with cisplatin,10.2210/pdb3b6f/pdb,3,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P84233,Histone H3.2,
3B6F,F,Nucleosome core particle treated with cisplatin,10.2210/pdb3b6f/pdb,4,,,,,,,,P62799,Histone H4,
3B6F,G,Nucleosome core particle treated with cisplatin,10.2210/pdb3b6f/pdb,5,,,,,,,,P06897,Histone H2A type 1,
3B6F,H,Nucleosome core particle treated with cisplatin,10.2210/pdb3b6f/pdb,6,,,,,,,,P02281,Histone H2B 1.1,
3B6F,I,Nucleosome core particle treated with cisplatin,10.2210/pdb3b6f/pdb,1,,,,,,,,,,
3B6F,J,Nucleosome core particle treated with cisplatin,10.2210/pdb3b6f/pdb,2,,,,,,,,,,
3B6G,A,Nucleosome core particle treated with oxaliplatin,10.2210/pdb3b6g/pdb,3,,,,,,,,P84233,Histone H3.2,
3B6G,B,Nucleosome core particle treated with oxaliplatin,10.2210/pdb3b6g/pdb,4,,,,,,,,P62799,Histone H4,
3B6G,C,Nucleosome core particle treated with oxaliplatin,10.2210/pdb3b6g/pdb,5,,,,,,,,P06897,Histone H2A type 1,
3B6G,D,Nucleosome core particle treated with oxaliplatin,10.2210/pdb3b6g/pdb,6,,,,,,,,P02281,Histone H2B 1.1,
3B6G,E,Nucleosome core particle treated with oxaliplatin,10.2210/pdb3b6g/pdb,3,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P84233,Histone H3.2,
3B6G,F,Nucleosome core particle treated with oxaliplatin,10.2210/pdb3b6g/pdb,4,,,,,,,,P62799,Histone H4,
3B6G,G,Nucleosome core particle treated with oxaliplatin,10.2210/pdb3b6g/pdb,5,,,,,,,,P06897,Histone H2A type 1,
3B6G,H,Nucleosome core particle treated with oxaliplatin,10.2210/pdb3b6g/pdb,6,,,,,,,,P02281,Histone H2B 1.1,
3B6G,I,Nucleosome core particle treated with oxaliplatin,10.2210/pdb3b6g/pdb,1,,,,,,,,,,
3B6G,J,Nucleosome core particle treated with oxaliplatin,10.2210/pdb3b6g/pdb,2,,,,,,,,,,
3C1B,A,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1b/pdb,1,,,,,,,,P84233,Histone H3.2,
3C1B,B,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1b/pdb,2,ML3,"2-{[(2R)-2-amino-2-carboxyethyl]sulfanyl}-N,N,N-trimethylethanaminium","InChI=1S/C8H18N2O2S/c1-10(2,3)4-5-13-6-7(9)8(11)12/h7H,4-6,9H2,1-3H3/p+1/t7-/m0/s1",DOTVFUARKFIRGC-ZETCQYMHSA-O,ML3,,,P62799,Histone H4,
3C1B,C,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1b/pdb,3,,,,,,,,P06897,Histone H2A type 1,
3C1B,D,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1b/pdb,4,,,,,,,,Q28D68,Histone H2B,
3C1B,E,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1b/pdb,1,,,,,,,,P84233,Histone H3.2,
3C1B,F,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1b/pdb,2,ML3,"2-{[(2R)-2-amino-2-carboxyethyl]sulfanyl}-N,N,N-trimethylethanaminium","InChI=1S/C8H18N2O2S/c1-10(2,3)4-5-13-6-7(9)8(11)12/h7H,4-6,9H2,1-3H3/p+1/t7-/m0/s1",DOTVFUARKFIRGC-ZETCQYMHSA-O,ML3,,,P62799,Histone H4,
3C1B,G,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1b/pdb,3,,,,,,,,P06897,Histone H2A type 1,
3C1B,H,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1b/pdb,4,,,,,,,,Q28D68,Histone H2B,
3C1B,I,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1b/pdb,5,,,,,,,,,,
3C1B,J,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1b/pdb,5,,,,,,,,,,
3C1C,A,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1c/pdb,1,M2L,(2R)-2-amino-3-(2-dimethylaminoethylsulfanyl)propanoic acid,"InChI=1S/C7H16N2O2S/c1-9(2)3-4-12-5-6(8)7(10)11/h6H,3-5,8H2,1-2H3,(H,10,11)/t6-/m0/s1",XLXDHBGRMHYTIO-LURJTMIESA-N,M2L,,,P84233,Histone H3.2,
3C1C,B,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1c/pdb,2,,,,,,,,P62799,Histone H4,
3C1C,C,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1c/pdb,3,,,,,,,,P06897,Histone H2A type 1,
3C1C,D,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1c/pdb,4,,,,,,,,Q28D68,Histone H2B,
3C1C,E,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1c/pdb,1,M2L,(2R)-2-amino-3-(2-dimethylaminoethylsulfanyl)propanoic acid,"InChI=1S/C7H16N2O2S/c1-9(2)3-4-12-5-6(8)7(10)11/h6H,3-5,8H2,1-2H3,(H,10,11)/t6-/m0/s1",XLXDHBGRMHYTIO-LURJTMIESA-N,M2L,,,P84233,Histone H3.2,
3C1C,F,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1c/pdb,2,,,,,,,,P62799,Histone H4,
3C1C,G,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1c/pdb,3,,,,,,,,P06897,Histone H2A type 1,
3C1C,H,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1c/pdb,4,,,,,,,,Q28D68,Histone H2B,
3C1C,I,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1c/pdb,5,,,,,,,,,,
3C1C,J,The effect of H3 K79 dimethylation and H4 K20 trimethylation on nucleosome and chromatin structure,10.2210/pdb3c1c/pdb,5,,,,,,,,,,
3KUY,A,DNA Stretching in the Nucleosome Facilitates Alkylation by an Intercalating Antitumor Agent,10.2210/pdb3kuy/pdb,1,,,,,,,,P84233,Histone H3.2,
3KUY,B,DNA Stretching in the Nucleosome Facilitates Alkylation by an Intercalating Antitumor Agent,10.2210/pdb3kuy/pdb,2,,,,,,,,P62799,Histone H4,
3KUY,C,DNA Stretching in the Nucleosome Facilitates Alkylation by an Intercalating Antitumor Agent,10.2210/pdb3kuy/pdb,3,,,,,,,,P06897,Histone H2A type 1,
3KUY,D,DNA Stretching in the Nucleosome Facilitates Alkylation by an Intercalating Antitumor Agent,10.2210/pdb3kuy/pdb,4,,,,,,,,P02281,Histone H2B 1.1,
3KUY,E,DNA Stretching in the Nucleosome Facilitates Alkylation by an Intercalating Antitumor Agent,10.2210/pdb3kuy/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P84233,Histone H3.2,
3KUY,F,DNA Stretching in the Nucleosome Facilitates Alkylation by an Intercalating Antitumor Agent,10.2210/pdb3kuy/pdb,2,,,,,,,,P62799,Histone H4,
3KUY,G,DNA Stretching in the Nucleosome Facilitates Alkylation by an Intercalating Antitumor Agent,10.2210/pdb3kuy/pdb,3,,,,,,,,P06897,Histone H2A type 1,
3KUY,H,DNA Stretching in the Nucleosome Facilitates Alkylation by an Intercalating Antitumor Agent,10.2210/pdb3kuy/pdb,4,,,,,,,,P02281,Histone H2B 1.1,
3KUY,I,DNA Stretching in the Nucleosome Facilitates Alkylation by an Intercalating Antitumor Agent,10.2210/pdb3kuy/pdb,5,ATV,"2-[(2R)-oxiran-2-ylmethyl]-1H-benzo[de]isoquinoline-1,3(2H)-dione","InChI=1S/C15H11NO3/c17-14-11-5-1-3-9-4-2-6-12(13(9)11)15(18)16(14)7-10-8-19-10/h1-6,10H,7-8H2/t10-/m1/s1",TVMJTOKZNPCXOO-SNVBAGLBSA-N,ATV,,,,,
3KUY,J,DNA Stretching in the Nucleosome Facilitates Alkylation by an Intercalating Antitumor Agent,10.2210/pdb3kuy/pdb,6,ATV,"2-[(2R)-oxiran-2-ylmethyl]-1H-benzo[de]isoquinoline-1,3(2H)-dione","InChI=1S/C15H11NO3/c17-14-11-5-1-3-9-4-2-6-12(13(9)11)15(18)16(14)7-10-8-19-10/h1-6,10H,7-8H2/t10-/m1/s1",TVMJTOKZNPCXOO-SNVBAGLBSA-N,ATV,,,,,
3KWQ,A,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kwq/pdb,1,,,,,,,,P84233,Histone H3.2,
3KWQ,B,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kwq/pdb,2,,,,,,,,P62799,Histone H4,
3KWQ,C,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kwq/pdb,3,,,,,,,,P06897,Histone H2A type 1,
3KWQ,D,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kwq/pdb,4,,,,,,,,P02281,Histone H2B 1.1,
3KWQ,E,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kwq/pdb,1,,,,,,,,P84233,Histone H3.2,
3KWQ,F,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kwq/pdb,2,,,,,,,,P62799,Histone H4,
3KWQ,G,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kwq/pdb,3,,,,,,,,P06897,Histone H2A type 1,
3KWQ,H,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kwq/pdb,4,,,,,,,,P02281,Histone H2B 1.1,
3KWQ,I,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kwq/pdb,5,,,,,,,,,,
3KWQ,J,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kwq/pdb,5,,,,,,,,,,
3KXB,A,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kxb/pdb,1,,,,,,,,P84233,Histone H3.2,
3KXB,B,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kxb/pdb,2,,,,,,,,P62799,Histone H4,
3KXB,C,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kxb/pdb,3,,,,,,,,Q6AZJ8,Histone H2A,
3KXB,D,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kxb/pdb,4,,,,,,,,P02281,Histone H2B 1.1,
3KXB,E,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kxb/pdb,1,,,,,,,,P84233,Histone H3.2,
3KXB,F,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kxb/pdb,2,,,,,,,,P62799,Histone H4,
3KXB,G,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kxb/pdb,3,,,,,,,,Q6AZJ8,Histone H2A,
3KXB,H,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kxb/pdb,4,,,,,,,,P02281,Histone H2B 1.1,
3KXB,I,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kxb/pdb,5,,,,,,,,,,
3KXB,J,Structural characterization of H3K56Q nucleosomes and nucleosomal arrays,10.2210/pdb3kxb/pdb,5,,,,,,,,,,
3LEL,A,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,1,,,,,,,,P84233,Histone H3.2,
3LEL,B,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,2,,,,,,,,P62799,Histone H4,
3LEL,C,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,3,,,,,,,,Q6AZJ8,Histone H2A,
3LEL,D,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,4,,,,,,,,P02281,Histone H2B 1.1,
3LEL,E,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,1,,,,,,,,P84233,Histone H3.2,
3LEL,F,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,2,,,,,,,,P62799,Histone H4,
3LEL,G,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,3,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,Q6AZJ8,Histone H2A,
3LEL,H,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,4,,,,,,,,P02281,Histone H2B 1.1,
3LEL,I,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,5,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
3LEL,J,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,6,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
3LEL,K,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,1,,,,,,,,P84233,Histone H3.2,
3LEL,L,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,2,,,,,,,,P62799,Histone H4,
3LEL,M,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,3,,,,,,,,Q6AZJ8,Histone H2A,
3LEL,N,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,4,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P02281,Histone H2B 1.1,
3LEL,O,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P84233,Histone H3.2,
3LEL,P,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,2,,,,,,,,P62799,Histone H4,
3LEL,Q,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,3,,,,,,,,Q6AZJ8,Histone H2A,
3LEL,R,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,4,,,,,,,,P02281,Histone H2B 1.1,
3LEL,S,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,5,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
3LEL,T,Structural Insight into the Sequence-Dependence of Nucleosome Positioning,10.2210/pdb3lel/pdb,6,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
3LJA,A,Using Soft X-Rays for a Detailed Picture of Divalent Metal Binding in the Nucleosome,10.2210/pdb3lja/pdb,1,,,,,,,,P84233,Histone H3.2,
3LJA,B,Using Soft X-Rays for a Detailed Picture of Divalent Metal Binding in the Nucleosome,10.2210/pdb3lja/pdb,2,,,,,,,,P62799,Histone H4,
3LJA,C,Using Soft X-Rays for a Detailed Picture of Divalent Metal Binding in the Nucleosome,10.2210/pdb3lja/pdb,3,,,,,,,,P06897,Histone H2A type 1,
3LJA,D,Using Soft X-Rays for a Detailed Picture of Divalent Metal Binding in the Nucleosome,10.2210/pdb3lja/pdb,4,SO4,SULFATE ION,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",QAOWNCQODCNURD-UHFFFAOYSA-L,SO4,,,P02281,Histone H2B 1.1,
3LJA,E,Using Soft X-Rays for a Detailed Picture of Divalent Metal Binding in the Nucleosome,10.2210/pdb3lja/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P84233,Histone H3.2,
3LJA,F,Using Soft X-Rays for a Detailed Picture of Divalent Metal Binding in the Nucleosome,10.2210/pdb3lja/pdb,2,,,,,,,,P62799,Histone H4,
3LJA,G,Using Soft X-Rays for a Detailed Picture of Divalent Metal Binding in the Nucleosome,10.2210/pdb3lja/pdb,3,SO4,SULFATE ION,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",QAOWNCQODCNURD-UHFFFAOYSA-L,SO4,,,P06897,Histone H2A type 1,
3LJA,H,Using Soft X-Rays for a Detailed Picture of Divalent Metal Binding in the Nucleosome,10.2210/pdb3lja/pdb,4,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P02281,Histone H2B 1.1,
3LJA,H,Using Soft X-Rays for a Detailed Picture of Divalent Metal Binding in the Nucleosome,10.2210/pdb3lja/pdb,4,SO4,SULFATE ION,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",QAOWNCQODCNURD-UHFFFAOYSA-L,SO4,,,P02281,Histone H2B 1.1,
3LJA,I,Using Soft X-Rays for a Detailed Picture of Divalent Metal Binding in the Nucleosome,10.2210/pdb3lja/pdb,5,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
3LJA,J,Using Soft X-Rays for a Detailed Picture of Divalent Metal Binding in the Nucleosome,10.2210/pdb3lja/pdb,6,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
3LZ0,A,Crystal Structure of Nucleosome Core Particle Composed of the Widom 601 DNA Sequence (orientation 1),10.2210/pdb3lz0/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P84233,Histone H3.2,
3LZ0,B,Crystal Structure of Nucleosome Core Particle Composed of the Widom 601 DNA Sequence (orientation 1),10.2210/pdb3lz0/pdb,2,,,,,,,,P62799,Histone H4,
3LZ0,C,Crystal Structure of Nucleosome Core Particle Composed of the Widom 601 DNA Sequence (orientation 1),10.2210/pdb3lz0/pdb,3,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,Q6AZJ8,Histone H2A,
3LZ0,D,Crystal Structure of Nucleosome Core Particle Composed of the Widom 601 DNA Sequence (orientation 1),10.2210/pdb3lz0/pdb,4,,,,,,,,P02281,Histone H2B 1.1,
3LZ0,E,Crystal Structure of Nucleosome Core Particle Composed of the Widom 601 DNA Sequence (orientation 1),10.2210/pdb3lz0/pdb,1,,,,,,,,P84233,Histone H3.2,
3LZ0,F,Crystal Structure of Nucleosome Core Particle Composed of the Widom 601 DNA Sequence (orientation 1),10.2210/pdb3lz0/pdb,2,,,,,,,,P62799,Histone H4,
3LZ0,G,Crystal Structure of Nucleosome Core Particle Composed of the Widom 601 DNA Sequence (orientation 1),10.2210/pdb3lz0/pdb,3,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,Q6AZJ8,Histone H2A,
3LZ0,H,Crystal Structure of Nucleosome Core Particle Composed of the Widom 601 DNA Sequence (orientation 1),10.2210/pdb3lz0/pdb,4,,,,,,,,P02281,Histone H2B 1.1,
3LZ0,I,Crystal Structure of Nucleosome Core Particle Composed of the Widom 601 DNA Sequence (orientation 1),10.2210/pdb3lz0/pdb,5,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
3LZ0,J,Crystal Structure of Nucleosome Core Particle Composed of the Widom 601 DNA Sequence (orientation 1),10.2210/pdb3lz0/pdb,6,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
