target_name	target_chain	target_uniprot	target_process	target_function	source_name	source_chain	source_uniprot	source_process	source_function	interface_PDBs	nucleosome/histone	atomic_contacts
h3					Histone lysine demethylase PHF8	A	Q9UPP1	NA	NA	3kv4	histone	753
h3					Histone-arginine methyltransferase CARM1	A	Q86X55	6479	8168	5dwq|5dx0	histone	636.0
h3					Histone-lysine N-methyltransferase 2A	A	Q03164	NA	42800	2w5z	histone	741
h3					Histone-lysine N-methyltransferase 2C	C	Q8NEZ4	NA	42800	5f6k	histone	358
h3					Histone-lysine N-methyltransferase ASHH2	A	Q2LAE1	NA	8270	5yvx	histone	257
h3					Histone-lysine N-methyltransferase EHMT1	B	Q9H9B1	34968	2039#8270#18024	4i51	histone	769
h3					Histone-lysine N-methyltransferase EHMT2	A	Q96KQ7	34968	2039#8270#18024	5jhn|5t0k|5jiy|5jin|5jj0|5t0m	histone	3392
h3					Histone-lysine N-methyltransferase EZH2	A	Q15910	122#1932#6306#6325#6351#6355#6357#8284#10468#10629#10718#14013#14834#14898#16571#21695#21766#32259#32355#34244#35984#36333#42127#42752#43406#43433#43547#45605#45814#45892#48387#48511#50767#51154#70301#70314#70317#70734#71168#71902#97421#98532#1900006#1902808#1904772#2000134	978#979#981#3677#3682#3723#5515#8168#16279#16740#18024#31490#42054#43021#43565#44212#46976#70878#1990841	5hyn	histone	366
h3					Histone-lysine N-methyltransferase NSD3	A	Q9BZ95	NA	NA	4gne|4gnf|4gng	histone	599
h3					Histone-lysine N-methyltransferase PRDM9	A	Q96EQ9	NA	NA	4c1q	histone	282
h3					Histone-lysine N-methyltransferase SETD2	A	Q9BYW2	NA	18024	5jjy	histone	2870
h3					Histone-lysine N-methyltransferase SETD7	A	Q8WTS6	6355#34968	18024	1o9s	histone	337
h3					Histone-lysine N-methyltransferase SETDB1	A	Q15047	NA	NA	6bhd|6bhe	histone	1332
h3					Histone-lysine N-methyltransferase, H3 lysine-9 specific dim-5	A	Q8X225	32259#34968	5515#8168#8270#16740#18024#46872	1peg	histone	417
h3					Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH4	A	Q8GZB6	16571#34968	8270#18024	4qeo	histone	329
h3					Holliday junction recognition protein	C	Q8NCD3	NA	42393	3r45	histone	764
h3					Inactive histone-lysine N-methyltransferase 2E	A	Q8IZD2	NA	NA	4l58	histone	854
h3					Inhibitor of growth protein 4	A	Q9UNL4	8285#16573#43065	35064	2vnf	histone	228
h3					Lysine-specific demethylase 2A	A	P59997	NA	NA	4qwn|4qx7|4qx8	histone	3284
h3					Lysine-specific demethylase 4A	A	O75164	NA	NA	2oq6|5d6y|2ot7	histone	2107
h3					Lysine-specific demethylase 4B	A	O94953	NA	NA	4lxl	histone	281
h3					Lysine-specific demethylase 4D	A	Q6B0I6	NA	NA	4hon	histone	324
h3					Lysine-specific demethylase 5A	A	P29375	NA	NA	3gl6	histone	992
h3					Lysine-specific demethylase 6A	A	O15550	10468#71557	46872#71558	3avr	histone	3127
h3					Lysine-specific demethylase 6B	A	O15054	71557	46872#71558	5oy3	histone	3563
h3					Lysine-specific demethylase 6B	A	Q5NCY0	71557	46872#71558	4ezh	histone	338
h3					Lysine-specific demethylase 7 homolog	A	Q9GYI0	NA	NA	3n9l|3n9n|3n9p|3n9o|3n9q	histone	1135
h3					Lysine-specific histone demethylase 1A	A	O60341	6355#34720#55114	3677#16491#50660	2uxn|5h6q|2x0l|5x60	histone	2744
h3					Lysine-specific histone demethylase 1B	A	Q8NB78	6325#6349#6351#6355#7275#16579#34720#43046#44030#55114	3677#5515#8270#16491#32452#34648#34649#42393#46872#50660#71949	4fwf	histone	2549
h3					M-phase phosphoprotein 8	A	Q99549	NA	NA	3qo2	histone	805.0
h3					Major tegument protein	D	Q1HVJ0	NA	NA	5kdm	histone	89.0
h3					Metal-response element-binding transcription factor 2	B	Q9Y483	NA	NA	5xfr	histone	111
h3					MORC family CW-type zinc finger protein 3	A	F7BJB9	NA	8270	5ix1|5ix2	histone	950
h3					MORC family CW-type zinc finger protein 3	B	Q14149	NA	8270	4qq4	histone	742.0
h3					MORC family CW-type zinc finger protein 3	A	Q14149	NA	8270	5svx|5svy	histone	2513
h3					N-terminal Xaa-Pro-Lys N-methyltransferase 1	A	Q9BV86	6480#7051#7059#16571#18011#18012#18013#18016#32259#35572#35573	5515#8168#8276#16740#42054#71885	5cvd	histone	1502
h3					NA	A	G0S8H7	16571	NA	5kjh|5wfc|5kkl|5m5g	histone	3407
h3					NA	A	I1N521	6355	NA	5vab	histone	411
h3					NA	L	NA	NA	NA	4yhp|4yhz	histone	1043
h3					NA	A	O41094	32259	8168#42802	3kmt	histone	330
h3					NA	A	Q27198	NA	4402	1m1d|1qsn|1pu9|1pua	histone	1360
h3					NA	C	Q6CL77	NA	42393#46982	2yfv	histone	403.0
h3					NA	A	Q6CMF0	6606#6607#6886#2000220	8139#8536#8565	5ve8	histone	479
h3					NA	A	Q7JXA8	NA	NA	4u68	histone	740
h3					NA	A	Q9VG78	97190	NA	5wle	histone	266
h3					NAD-dependent protein deacetylase	A	Q9WYW0	6476	8270#16787#34979#46872#51287#70403	2h2g	histone	179
h3					NAD-dependent protein deacylase Sir2A	A	Q8IE47	6342#6355#6476#16233#36047#36049	3677#5515#16787#34979#36054#36055#46872#70403	3u31	histone	299
h3					NAD-dependent protein deacylase sirtuin-5, mitochondrial	A	Q9NXA8	NA	36054#36055#70403	3rig|3riy|4f56	histone	528
h3					Nuclear autoantigen Sp-100	A	P23497	NA	NA	5fb0|5fb1	histone	446
h3					Nucleosome-remodeling factor subunit BPTF	A	Q12830	NA	35064	2ri7	histone	208
h3					null#null	B	G0RYC6#G0SDW4	NA	NA	5kjh	histone	75
h3					Origin of replication complex subunit 1B	A	Q9SU24	NA	3682	5hh7	histone	503
h3					P0AEX9:#Maltose-binding periplasmic protein#P25554:#SAGA-associated factor 29	A	P0AEX9#P25554	6974#8643#15768#34219#34289#42956#55085#60326	5215#5515#15144#1901982	3mp1	histone	284
h3					Peregrin	A	P55201	NA	NA	2x4w|2x4x|2x4y|3mo8	histone	749
h3					PHD finger protein 1	B	Q9Z1B8	6974#31060	35064	5xfq	histone	475
h3					PHD finger protein 13	A	Q86YI8	NA	NA	3o7a	histone	215
h3					PHD finger protein 19	A	Q5T6S3	NA	NA	4bd3	histone	1269
h3					PHD finger protein 20	A	Q9BVI0	NA	NA	5tbn	histone	1049.0
h3					PHD finger protein ALFIN-LIKE 1	A	Q9FFF5	NA	NA	5y20	histone	207
h3					PHD finger protein ALFIN-LIKE 3	A	Q9M2B4	NA	NA	5yc4	histone	311
h3					Polycomb group protein Pc	A	P26017	NA	NA	1pdq	histone	868
h3					Probable histone-binding protein Caf1	A	Q24572	122#281#6281#6325#6334#6342#6351#6355#7307#7346#7379#8284#16571#16573#16584#31497#42766#51567#61085#70734	5515#31491#35035#42054#42393#42803#42826#46974#46976#70615	2yba	histone	464
h3					Probable Histone-lysine N-methyltransferase ATXR5	A	B9RU15	NA	NA	5va6	histone	2714
h3					Probable lysine-specific demethylase JMJ14	A	Q8GUI6	NA	NA	5yko	histone	221
h3					Protein AF-10	A	P55197	NA	NA	5dah	histone	359
h3					Protein AF-9	A	P42568	6355	NA	2ndf|2ndg|5hjb|5hjd	histone	2196
h3					Protein AF-9 homolog	C	P53930	6355	NA	6axj	histone	372
h3					Protein ENL	A	Q03111	6355	NA	5j9s	histone	113
h3					Protein SAWADEE HOMEODOMAIN HOMOLOG 1	B	Q9XI47	NA	3682	4iur	histone	304
h3					Protein SPT2 homolog	E	Q68D10	NA	NA	5bs7|5bsa	histone	907
h3					Putative oxidoreductase GLYR1	B	Q49A26	NA	NA	4gur	histone	222
h3					Pygopus homolog 1	A	Q9Y3Y4	NA	NA	2vpg	histone	185
h3					Q86UU0:#B-cell CLL/lymphoma 9-like protein#Q9BRQ0:#Pygopus homolog 2	A	Q86UU0#Q9BRQ0	NA	NA	4up0	histone	229
h3					SAGA-associated factor 29	A	Q96ES7	NA	NA	3me9|3mea|3met	histone	836
h3					Serine/threonine-protein kinase haspin	A	Q8TF76	6468	4672#5524	4ouc	histone	301
h3					SET domain-containing protein 3	A	P36124	NA	NA	5tdr|5tdw	histone	580
h3					Spindlin-1	A	Q9Y657	6325#7049#7275#7276#9303#16055#30177#45893#51321	5515#35064	4h75	histone	315
h3					Spindlin-1	A	Q9Y657	7276	NA	4mzf|4mzg|4mzh	histone	479
h3					Spindlin-4	B	Q56A73	7276	NA	4uy4	histone	202.0
h3					Tonsoku-like protein	D	Q96HA7	NA	NA	5ja4	histone	22
h3					Transcription initiation factor TFIID subunit 14	A	P35189	6355	NA	5d7e|5iok	histone	377
h3					Transcription initiation factor TFIID subunit 3	A	Q5VWG9	NA	NA	5c13|5wxg|5wxh	histone	2052
h3					Transcription intermediary factor 1-alpha	A	O15164	NA	NA	3o34|3o35|3o37	histone	592
h3					Transcriptional regulator ATRX	A	P46100	NA	NA	2lbm	histone	2714
h3					Transportin-1	A	Q92973	6886	8536	5j3v	histone	419
h3					Ubinuclein-1	D	Q9NPG3	6325	NA	4zbj	histone	526
h3					Ubiquitin-40S ribosomal protein S27a	B	P62979	NA	NA	5wvo	histone	337
h3					V(D)J recombination-activating protein 2	A	P21784	6310	3677	2v86|2v87	histone	234
h3					V(D)J recombination-activating protein 2	C	P21784	6310	3677	2v83|2v89	histone	1246
h3					Vacuolar protein sorting-associated protein 75	B	P53853	6334	NA	3q33	histone	144
h3					WD repeat-containing protein 5	A	P61964	1501#6325#6351#6355#31175#35948#43687#43966#43981#43982#43984#45652#51568#60271	5515#18024#35064#42800#43995#43996#46972	2cnx|2co0|4a7j	histone	1116
h3					WD repeat-containing protein 5	A	P61965	1501#6325#6351#6355#31175#35948#43966#43981#43982#43984#51568#60271	5515#35064#42800#43995#43996#46972	2xl3	histone	226.0
h3					YEATS domain-containing protein 2	A	Q9ULM3	6355	NA	5iql|5xnv	histone	297
h3					Zinc finger CW-type PWWP domain protein 1	A	Q9H0M4	NA	8270	2rr4	histone	1192
h3					Zinc finger CW-type PWWP domain protein 2	B	Q504Y3	NA	8270	4o62	histone	197
h3					Zinc finger MYND domain-containing protein 11	A	Q8R5C8	NA	NA	4n4h	histone	581
h3					Zinc finger protein DPF3	A	Q92784	NA	8270	2kwj|2kwk|5i3l|5szb	histone	7987
h4					ATPase family AAA domain-containing protein 2	A	Q6PL18	6325#6355	16887	4qut|4quu	histone	226
h4					Bromodomain testis-specific protein	A	Q91Y44	NA	NA	2wp2	histone	69
h4					Bromodomain-containing protein 2	C	P25440	NA	NA	2dvq|2e3k|2dvr	histone	1143
h4					Bromodomain-containing protein 4	C	O60885	NA	NA	3uvw|3uw9|3uvy	histone	495
h4					Bromodomain-containing protein 9	B	Q9H8M2	NA	NA	4yy6|4yyg|4yyi	histone	282
h4					CREB-binding protein	A	Q92793	NA	NA	4n3w|4n4f	histone	196
h4					Death domain-associated protein 6	A	Q9UER7	NA	NA	4h9n|4h9s|4hga	histone	5821
h4					DNA replication licensing factor MCM2	C	P49736	6270#1905775	3677#5524	4uuz	histone	684
h4					DNA replication licensing factor MCM2	L	P49736	6270#1905775	3677#5524	5bnv|5c3i|5bnx	histone	3313
h4					FACT complex subunit SPT16	B	Q9Y5B9	NA	NA	4z2m	histone	318
h4					Hepatoma-derived growth factor-related protein 2	B	Q7Z4V5	NA	NA	3qby	histone	50
h4					Histone acetyltransferase ESA1	A	Q08649	6355#16573	4402	3to6	histone	297
h4					Histone acetyltransferase GCN5	A	Q03330	NA	35064	1e6i	histone	213
h4					Histone acetyltransferase type B catalytic subunit	A	Q12341	6325#6348#16573	4402#42393	4psw	histone	1049
h4					Histone acetyltransferase type B subunit 2	B	P39984	6325#6333#6348#16573	4402#5515#42393	4psw	histone	907
h4					Histone chaperone ASF1	A	P32447	6333	NA	2hue|4eo5|4zbj	histone	952
h4					Histone chaperone ASF1A	A	Q9Y294	6333	NA	2io5	histone	266
h4					Histone chaperone ASF1A	I	Q9Y294	6333	NA	5c3i	histone	333
h4					Histone chaperone ASF1B	D	Q9NVP2	6333	NA	5bnx	histone	715
h4					Histone-binding protein RBBP7	B	Q16576	122#6260#6325#6351#6355#7275#8283#16575#30308#34080#43687#45814#45892#48545#70317#70370	3723#4407#5515	3cfs|3cfv	histone	705.0
h4					Histone-lysine N-methyltransferase KMT5C	A	Q6Q783	34773	42799	4au7	histone	333
h4					Holliday junction recognition protein	C	Q8NCD3	NA	42393	3r45	histone	121.0
h4					Lethal(3)malignant brain tumor-like protein 1	A	Q9Y468	6355	NA	2rje	histone	44
h4					Lysine-specific demethylase 4A	B	O75164	NA	NA	2qqs|5fwe	histone	403
h4					Major tegument protein	D	Q1HVJ0	NA	NA	5kdm	histone	47
h4					N-alpha-acetyltransferase 40	A	Q86UY6	NA	NA	4u9w	histone	303
h4					N-lysine methyltransferase KMT5A	A	Q9NQR1	NA	18024	1zkk|3f9w|5teg|3f9y	histone	2534
h4					NA	A	B6K598	70#51382#61641	NA	4xyi	histone	275
h4					NA	C	Q6CL77	NA	42393#46982	2yfv	histone	152
h4					NA	A	Q6CMF0	6606#6607#6886#2000220	8139#8536#8565	5w0v	histone	363
h4					NAD-dependent protein deacetylase	A	Q9WYW0	6476	8270#16787#34979#46872#51287#70403	2h2h	histone	269
h4					NAD-dependent protein deacetylase HST2	A	P53686	NA	8270#17136#70403	1q1a|1szc|2qqf|2qqg	histone	1633
h4					NAD-dependent protein deacylase 1	A	O28597	6351#6355#6476#36047#36048#36049	8270#16787#34979#36054#36055#46872#70403	4twi	histone	263
h4					NAD-dependent protein deacylase 2	A	O30124	6351#6355#6476#36047#36049	8270#16787#34979#36054#36055#46872#51287#70403	4twj	histone	226
h4					Nucleosome-remodeling factor subunit BPTF	A	Q12830	NA	35064	3qzs|3qzt|3qzv	histone	431
h4					Origin recognition complex subunit 1	A	Q9Z1N2	NA	3682	4dow	histone	408
h4					Peregrin	A	P55201	NA	NA	2rs9|4qyd|5ffw	histone	667
h4					Polycomb protein EED	A	O75530	122#6325#6349#6351#6355#16571#21510#45814#45892#61087#70317#70734#1990830#2000011	978#3682#5515#42054#42802#46976	3ij1|3jpx	histone	281
h4					Probable histone-binding protein Caf1	A	Q24572	122#281#6281#6325#6334#6342#6351#6355#7307#7346#7379#8284#16571#16573#16584#31497#42766#51567#61085#70734	5515#31491#35035#42054#42393#42803#42826#46974#46976#70615	2xyi|3c9c	histone	545
h4					Protein arginine N-methyltransferase 5	A	O14744	387#6325#6351#6353#6355#6479#7088#8283#18216#19918#32259#32922#35246#42118#43985#44030#45596#48511#48714#70372#90161#97421#1901796#1903507#1904992	3714#5515#8168#8327#8469#16274#16740#35243#42802#43021#44020#44877#46982#70888	4gqb|5fa5	histone	2516.0
h4					Protein arginine N-methyltransferase 7	B	Q582G4	6479	8168	4m38	histone	532
h4					Protein SPT2 homolog	F	Q68D10	NA	NA	5bs7|5bsa	histone	758
h4					Tonsoku-like protein	D	Q96HA7	NA	NA	5ja4	histone	1294
h4					TP53-binding protein 1	A	Q12888	NA	NA	2ig0|2lvm	histone	1955
h4					Transcription initiation factor TFIID subunit 1	B	P21675	NA	NA	4yym|4yyn	histone	299
h4					Transcription intermediary factor 1-alpha	A	O15164	NA	NA	3o36	histone	71
h4					Ubinuclein-1	D	Q9NPG3	6325	NA	4zbj	histone	16
h4					Zinc finger protein DPF3	A	Q92784	NA	8270	2kwn|2kwo	histone	3606
Hepatoma-derived growth factor-related protein 2	C	Q7Z4V5	NA	NA	Hepatoma-derived growth factor-related protein 2	B	Q7Z4V5	NA	NA	3qby	histone	420
Histone acetyltransferase ESA1	A	Q08649	6355#16573	4402	Histone acetyltransferase ESA1	A	Q08649	6355#16573	4402	3to6	histone	1323
Histone acetyltransferase RTT109	A	Q07794	6351#6355#6974#10468#10526#16573#30702#43007#43618#43966#97043#1990414#2001032	4402#5515#10484#16740#32931	Histone acetyltransferase RTT109	A	Q07794	6351#6355#6974#10468#10526#16573#30702#43007#43618#43966#97043#1990414#2001032	4402#5515#10484#16740#32931	3q33	histone	149
Histone acetyltransferase type B subunit 2	B	P39984	6325#6333#6348#16573	4402#5515#42393	Histone acetyltransferase type B catalytic subunit	A	Q12341	6325#6348#16573	4402#42393	4psw|4psx	histone	1112
Histone chaperone ASF1B	D	Q9NVP2	6333	NA	DNA replication licensing factor MCM2	C	P49736	6270#1905775	3677#5524	5bnx	histone	18
Histone-arginine methyltransferase CARM1	B	Q86X55	6479	8168	Histone-arginine methyltransferase CARM1	A	Q86X55	6479	8168	5dwq|5dx0	histone	1738
Histone-lysine N-methyltransferase 2C	E	Q8NEZ4	NA	42800	Set1/Ash2 histone methyltransferase complex subunit ASH2	B	Q9UBL3	51568	NA	5f6k	histone	306
Histone-lysine N-methyltransferase EHMT1	B	Q9H9B1	34968	2039#8270#18024	Histone-lysine N-methyltransferase EHMT1	A	Q9H9B1	34968	2039#8270#18024	4i51	histone	692.0
Histone-lysine N-methyltransferase EHMT2	B	Q96KQ7	34968	2039#8270#18024	Histone-lysine N-methyltransferase EHMT2	A	Q96KQ7	34968	2039#8270#18024	5jhn|5jiy	histone	2775
HLA class I histocompatibility antigen, alpha chain G	D	P17693	NA	NA	HLA class I histocompatibility antigen, alpha chain G	D	P17693	NA	NA	2d31	histone	136
HLA class II histocompatibility antigen, DRB1-4 beta chain	B	P13760	6955#19882	NA	HLA class II histocompatibility antigen, DR alpha chain	A	P01903	6955#19882	NA	6biy|6biz	histone	3141
Leukocyte immunoglobulin-like receptor subfamily B member 2	D	Q8N423	NA	NA	Beta-2-microglobulin	B	P61769	1895#1916#2237#2376#2474#2479#2480#2481#2726#6826#6955#10977#19885#32092#33077#33216#42026#42493#43312#44267#45087#45646#46686#48260#50690#50776#55072#60333#71281#71283#1900121#1900122#1900390#1904434#1904437	5515#42802	2dyp	histone	335
Leukocyte immunoglobulin-like receptor subfamily B member 2	D	Q8N423	NA	NA	HLA class I histocompatibility antigen, alpha chain G	A	P17693	NA	NA	2dyp	histone	188
Lysine-specific demethylase 2A	B	P59997	NA	NA	Lysine-specific demethylase 2A	A	P59997	NA	NA	4qwn|4qx7	histone	8379
Lysine-specific demethylase 5A	A	P29375	NA	NA	Lysine-specific demethylase 5A	A	P29375	NA	NA	3gl6	histone	373
Lysine-specific histone demethylase 1B	C	Q8NB78	6325#6349#6351#6355#7275#16579#34720#43046#44030#55114	3677#5515#8270#16491#32452#34648#34649#42393#46872#50660#71949	Lysine-specific histone demethylase 1B	A	Q8NB78	6325#6349#6351#6355#7275#16579#34720#43046#44030#55114	3677#5515#8270#16491#32452#34648#34649#42393#46872#50660#71949	4gu0	histone	567
Major tegument protein	D	Q1HVJ0	NA	NA	Death domain-associated protein 6	C	Q9UER7	NA	NA	5kdm	histone	276
Metal-response element-binding transcription factor 2	B	Q9Y483	NA	NA	Metal-response element-binding transcription factor 2	A	Q9Y483	NA	NA	5xfr	histone	130
Methylosome protein 50	B	Q9BQA1	6357#8284#8285#35246#60528#60770#1903508	5515#8327#16274#30374	Protein arginine N-methyltransferase 5	A	O14744	387#6325#6351#6353#6355#6479#7088#8283#18216#19918#32259#32922#35246#42118#43985#44030#45596#48511#48714#70372#90161#97421#1901796#1903507#1904992	3714#5515#8168#8327#8469#16274#16740#35243#42802#43021#44020#44877#46982#70888	4gqb|5fa5	histone	9608
MORC family CW-type zinc finger protein 3	B	F7BJB9	NA	8270	MORC family CW-type zinc finger protein 3	A	F7BJB9	NA	8270	5ix1|5ix2	histone	2822
MORC family CW-type zinc finger protein 3	B	Q14149	NA	8270	MORC family CW-type zinc finger protein 3	A	Q14149	NA	8270	4qq4	histone	155
N-lysine methyltransferase KMT5A	D	Q9NQR1	NA	18024	N-lysine methyltransferase KMT5A	C	Q9NQR1	NA	18024	1zkk	histone	679
NA	A	Q7JXA8	NA	NA	NA	A	Q7JXA8	NA	NA	4u68	histone	454
NAD-dependent protein deacetylase HST2	A	P53686	NA	8270#17136#70403	NAD-dependent protein deacetylase HST2	A	P53686	NA	8270#17136#70403	2qqf	histone	665
Nucleosome assembly protein	J	P25293	6334	NA	Nucleosome assembly protein	I	P25293	6334	NA	5g2e	histone	1700
null#null	B	G0RYC6#G0SDW4	NA	NA	NA	A	G0S8H7	NA	NA	5kjh|5wfc	histone	2954
Peregrin	B	P55201	NA	NA	Peregrin	A	P55201	NA	NA	2x4y|5ffw	histone	130
PHD finger protein 1	B	Q9Z1B8	6974#31060	35064	PHD finger protein 1	A	Q9Z1B8	6974#31060	35064	5xfq	histone	225
Polycomb protein EED	B	O75530	16571	NA	Histone-lysine N-methyltransferase EZH2	A	Q15910	122#1932#6306#6325#6351#6355#6357#8284#10468#10629#10718#14013#14834#14898#16571#21695#21766#32259#32355#34244#35984#36333#42127#42752#43406#43433#43547#45605#45814#45892#48387#48511#50767#51154#70301#70314#70317#70734#71168#71902#97421#98532#1900006#1902808#1904772#2000134	978#979#981#3677#3682#3723#5515#8168#16279#16740#18024#31490#42054#43021#43565#44212#46976#70878#1990841	5hyn	histone	2120
Polycomb protein SUZ12	C	Q15022	NA	NA	Histone-lysine N-methyltransferase EZH2	A	Q15910	122#1932#6306#6325#6351#6355#6357#8284#10468#10629#10718#14013#14834#14898#16571#21695#21766#32259#32355#34244#35984#36333#42127#42752#43406#43433#43547#45605#45814#45892#48387#48511#50767#51154#70301#70314#70317#70734#71168#71902#97421#98532#1900006#1902808#1904772#2000134	978#979#981#3677#3682#3723#5515#8168#16279#16740#18024#31490#42054#43021#43565#44212#46976#70878#1990841	5hyn	histone	1654
Polycomb protein SUZ12	C	Q15022	NA	NA	Polycomb protein EED	B	O75530	16571	NA	5hyn	histone	268
Protein AF-9	G	P42568	6355	NA	Protein AF-9	E	P42568	6355	NA	5hjd	histone	1128
Protein AF-9 homolog	C	P53930	6355	NA	Protein AF-9 homolog	A	P53930	6355	NA	6axj	histone	1581
Protein arginine N-methyltransferase 5	A	O14744	387#6325#6351#6353#6355#6479#7088#8283#18216#19918#32259#32922#35246#42118#43985#44030#45596#48511#48714#70372#90161#97421#1901796#1903507#1904992	3714#5515#8168#8327#8469#16274#16740#35243#42802#43021#44020#44877#46982#70888	Protein arginine N-methyltransferase 5	A	O14744	387#6325#6351#6353#6355#6479#7088#8283#18216#19918#32259#32922#35246#42118#43985#44030#45596#48511#48714#70372#90161#97421#1901796#1903507#1904992	3714#5515#8168#8327#8469#16274#16740#35243#42802#43021#44020#44877#46982#70888	4gqb|5fa5	histone	7606
Protein arginine N-methyltransferase 7	B	Q582G4	6479	8168	Protein arginine N-methyltransferase 7	A	Q582G4	6479	8168	4m38	histone	1942
Protein Jumonji	E	Q92833	NA	NA	Histone-lysine N-methyltransferase EZH2	A	Q15910	122#1932#6306#6325#6351#6355#6357#8284#10468#10629#10718#14013#14834#14898#16571#21695#21766#32259#32355#34244#35984#36333#42127#42752#43406#43433#43547#45605#45814#45892#48387#48511#50767#51154#70301#70314#70317#70734#71168#71902#97421#98532#1900006#1902808#1904772#2000134	978#979#981#3677#3682#3723#5515#8168#16279#16740#18024#31490#42054#43021#43565#44212#46976#70878#1990841	5hyn	histone	96.0
Protein Jumonji	E	Q92833	NA	NA	Polycomb protein EED	B	O75530	16571	NA	5hyn	histone	147
Putative oxidoreductase GLYR1	B	Q49A26	NA	NA	Lysine-specific histone demethylase 1B	A	Q8NB78	6325#6349#6351#6355#7275#16579#34720#43046#44030#55114	3677#5515#8270#16491#32452#34648#34649#42393#46872#50660#71949	4gur|4gus	histone	1521
Regulator of Ty1 transposition protein 107	B	P38850	NA	NA	Regulator of Ty1 transposition protein 107	A	P38850	NA	NA	3t7k	histone	213
REST corepressor 1	B	Q9UKL0	NA	3677	Lysine-specific histone demethylase 1A	A	O60341	6355#34720#55114	3677#16491#50660	2uxn|2v1d|2x0l|5h6q|5h6r|5x60	histone	7046
Retinoblastoma-binding protein 5	F	Q15291	NA	NA	Histone-lysine N-methyltransferase 2C	E	Q8NEZ4	NA	42800	5f6k	histone	770
Retinoblastoma-binding protein 5	C	Q8BX09	NA	NA	WD repeat-containing protein 5	A	P61965	1501#6325#6351#6355#31175#35948#43966#43981#43982#43984#51568#60271	5515#35064#42800#43995#43996#46972	2xl3	histone	257
SAGA-associated factor 29	B	Q96ES7	NA	NA	SAGA-associated factor 29	A	Q96ES7	NA	NA	3me9|3meu|3mev	histone	907
Set1/Ash2 histone methyltransferase complex subunit ASH2	B	Q9UBL3	51568	NA	Set1/Ash2 histone methyltransferase complex subunit ASH2	A	Q9UBL3	51568	NA	5f6k	histone	157
Sex comb on midleg-like protein 2	A	Q9UQR0	6355	NA	Sex comb on midleg-like protein 2	A	Q9UQR0	6355	NA	4edu	histone	136
Speckle-type POZ protein	B	Q5NVK7	NA	NA	Speckle-type POZ protein	A	Q5NVK7	NA	NA	3hsv	histone	148
Transcription initiation factor TFIID subunit 1	B	P21675	NA	NA	Transcription initiation factor TFIID subunit 1	A	P21675	NA	NA	4yym	histone	626
Transcription initiation factor TFIID subunit 3	E	Q5VWG9	NA	NA	Transcription initiation factor TFIID subunit 3	A	Q5VWG9	NA	NA	5c13	histone	841
V(D)J recombination-activating protein 2	C	P21784	6310	3677	V(D)J recombination-activating protein 2	B	P21784	6310	3677	2v83	histone	279
Vacuolar protein sorting-associated protein 75	B	P53853	6334	NA	Histone acetyltransferase RTT109	A	Q07794	6351#6355#6974#10468#10526#16573#30702#43007#43618#43966#97043#1990414#2001032	4402#5515#10484#16740#32931	3q33	histone	1248
Vacuolar protein sorting-associated protein 75	B	P53853	6334	NA	Vacuolar protein sorting-associated protein 75	B	P53853	6334	NA	3q33	histone	514
Zinc finger CW-type PWWP domain protein 2	C	Q504Y3	NA	8270	Zinc finger CW-type PWWP domain protein 2	B	Q504Y3	NA	8270	4o62	histone	705
Zinc finger protein DPF3	B	Q92784	NA	8270	Zinc finger protein DPF3	A	Q92784	NA	8270	5i3l	histone	456
