PDB	CHAIN	ORGANISM	PROCESS	FUNCTION	UNIPROT	NAME
3opt	A	Saccharomyces cerevisiae	NA	NA	P39956	DNA damage-responsive transcriptional repressor RPH1
3opw	A	Saccharomyces cerevisiae	NA	NA	P39956	DNA damage-responsive transcriptional repressor RPH1
3os5	B	NA	NA	NA	NA	NA
3os5	A	Homo sapiens	6355#34968	18024	Q8WTS6	Histone-lysine N-methyltransferase SETD7
3oxf	A	Homo sapiens	6325#6334#6469#14904#32259#33138#34968#45184#45944#71549	978#993#1162#5515#8168#16740#18024#46872	Q9H7B4	Histone-lysine N-methyltransferase SMYD3
3oxf	B	Homo sapiens	6325#6334#6469#14904#32259#33138#34968#45184#45944#71549	978#993#1162#5515#8168#16740#18024#46872	Q9H7B4	Histone-lysine N-methyltransferase SMYD3
3oxg	A	Homo sapiens	6325#6334#6469#14904#32259#33138#34968#45184#45944#71549	978#993#1162#5515#8168#16740#18024#46872	Q9H7B4	Histone-lysine N-methyltransferase SMYD3
3oxl	A	Homo sapiens	6325#6334#6469#14904#32259#33138#34968#45184#45944#71549	978#993#1162#5515#8168#16740#18024#46872	Q9H7B4	Histone-lysine N-methyltransferase SMYD3
3p1c	A	Homo sapiens	NA	NA	Q92793	CREB-binding protein
3p1c	B	Homo sapiens	NA	NA	Q92793	CREB-binding protein
3p1d	A	Homo sapiens	NA	NA	Q92793	CREB-binding protein
3p1d	B	Homo sapiens	NA	NA	Q92793	CREB-binding protein
3p4f	A	Homo sapiens	1501#6325#6351#6355#31175#35948#43687#43966#43981#43982#43984#45652#51568#60271	5515#18024#35064#42800#43995#43996#46972	P61964	WD repeat-containing protein 5
3p4f	C	Homo sapiens	NA	NA	Q03164	Histone-lysine N-methyltransferase 2A
3p4f	B	Homo sapiens	NA	NA	Q15291	Retinoblastoma-binding protein 5
3p57	E	NA	NA	NA	NA	NA
3p57	F	NA	NA	NA	NA	NA
3p57	G	NA	NA	NA	NA	NA
3p57	H	NA	NA	NA	NA	NA
3p57	K	NA	NA	NA	NA	NA
3p57	L	NA	NA	NA	NA	NA
3p57	A	Homo sapiens	45944	977#3677#46983	Q02078	Myocyte-specific enhancer factor 2A
3p57	B	Homo sapiens	45944	977#3677#46983	Q02078	Myocyte-specific enhancer factor 2A
3p57	C	Homo sapiens	45944	977#3677#46983	Q02078	Myocyte-specific enhancer factor 2A
3p57	D	Homo sapiens	45944	977#3677#46983	Q02078	Myocyte-specific enhancer factor 2A
3p57	I	Homo sapiens	45944	977#3677#46983	Q02078	Myocyte-specific enhancer factor 2A
3p57	J	Homo sapiens	45944	977#3677#46983	Q02078	Myocyte-specific enhancer factor 2A
3p57	P	Homo sapiens	6355	3712#4402#8270	Q09472	Histone acetyltransferase p300
3p5o	A	Homo sapiens	NA	NA	O60885	Bromodomain-containing protein 4
3p7j	A	Drosophila melanogaster	45892	NA	P05205	Heterochromatin protein 1
3p7j	B	Drosophila melanogaster	45892	NA	P05205	Heterochromatin protein 1
3p8d	A	Homo sapiens	NA	NA	Q9BVI0	PHD finger protein 20
3p8d	B	Homo sapiens	NA	NA	Q9BVI0	PHD finger protein 20
3p8h	A	Homo sapiens	6355	NA	Q9Y468	Lethal(3)malignant brain tumor-like protein 1
3p8h	B	Homo sapiens	6355	NA	Q9Y468	Lethal(3)malignant brain tumor-like protein 1
3p8h	C	Homo sapiens	6355	NA	Q9Y468	Lethal(3)malignant brain tumor-like protein 1
3pdn	A	Homo sapiens	6325#6334#6469#14904#32259#33138#34968#45184#45944#71549	978#993#1162#5515#8168#16740#18024#46872	Q9H7B4	Histone-lysine N-methyltransferase SMYD3
3pdq	A	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
3pdq	B	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
3pfs	A	Homo sapiens	NA	NA	Q9ULD4	Bromodomain and PHD finger-containing protein 3
3pfs	B	Homo sapiens	NA	NA	Q9ULD4	Bromodomain and PHD finger-containing protein 3
3phd	E	Homo sapiens	NA	NA	P62979	Ubiquitin-40S ribosomal protein S27a
3phd	F	Homo sapiens	NA	NA	P62979	Ubiquitin-40S ribosomal protein S27a
3phd	G	Homo sapiens	NA	NA	P62979	Ubiquitin-40S ribosomal protein S27a
3phd	H	Homo sapiens	NA	NA	P62979	Ubiquitin-40S ribosomal protein S27a
3phd	A	Homo sapiens	NA	8270	Q9UBN7	Histone deacetylase 6
3phd	B	Homo sapiens	NA	8270	Q9UBN7	Histone deacetylase 6
3phd	C	Homo sapiens	NA	8270	Q9UBN7	Histone deacetylase 6
3phd	D	Homo sapiens	NA	8270	Q9UBN7	Histone deacetylase 6
3pmi	A	Homo sapiens	6281#6325	31491	Q2TAK8	PWWP domain-containing protein MUM1
3pmi	B	Homo sapiens	6281#6325	31491	Q2TAK8	PWWP domain-containing protein MUM1
3pmi	C	Homo sapiens	6281#6325	31491	Q2TAK8	PWWP domain-containing protein MUM1
3pmi	D	Homo sapiens	6281#6325	31491	Q2TAK8	PWWP domain-containing protein MUM1
3psl	C	NA	NA	NA	NA	NA
3psl	D	NA	NA	NA	NA	NA
3psl	A	Homo sapiens	1501#6325#6351#6355#31175#35948#43687#43966#43981#43982#43984#45652#51568#60271	5515#18024#35064#42800#43995#43996#46972	P61964	WD repeat-containing protein 5
3psl	B	Homo sapiens	1501#6325#6351#6355#31175#35948#43687#43966#43981#43982#43984#45652#51568#60271	5515#18024#35064#42800#43995#43996#46972	P61964	WD repeat-containing protein 5
3ptr	B	Homo sapiens	NA	NA	O75151	Lysine-specific demethylase PHF2
3pu3	A	Homo sapiens	NA	NA	O75151	Lysine-specific demethylase PHF2
3pu3	B	Homo sapiens	NA	NA	O75151	Lysine-specific demethylase PHF2
3pu8	A	Homo sapiens	NA	NA	O75151	Lysine-specific demethylase PHF2
3pu8	B	Homo sapiens	NA	NA	O75151	Lysine-specific demethylase PHF2
3pua	A	Homo sapiens	NA	NA	O75151	Lysine-specific demethylase PHF2
3q0b	A	NA	NA	NA	NA	NA
3q0b	X	Arabidopsis thaliana	NA	NA	O82175	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH5
3q0c	B	NA	NA	NA	NA	NA
3q0c	C	NA	NA	NA	NA	NA
3q0c	A	Arabidopsis thaliana	NA	NA	O82175	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH5
3q0c	X	Arabidopsis thaliana	NA	NA	O82175	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH5
3q0d	B	NA	NA	NA	NA	NA
3q0d	C	NA	NA	NA	NA	NA
3q0d	A	Arabidopsis thaliana	NA	NA	O82175	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH5
3q0d	X	Arabidopsis thaliana	NA	NA	O82175	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH5
3q0f	B	NA	NA	NA	NA	NA
3q0f	C	NA	NA	NA	NA	NA
3q0f	A	Arabidopsis thaliana	NA	NA	O82175	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH5
3q0f	X	Arabidopsis thaliana	NA	NA	O82175	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH5
3q2e	A	Homo sapiens	NA	NA	Q9NSI6	Bromodomain and WD repeat-containing protein 1
3q33	B	Saccharomyces cerevisiae	6334	NA	P53853	Vacuolar protein sorting-associated protein 75
3q33	D	synthetic construct	NA	NA	P61830	Histone H3
3q33	A	Saccharomyces cerevisiae	6351#6355#6974#10468#10526#16573#30702#43007#43618#43966#97043#1990414#2001032	4402#5515#10484#16740#32931	Q07794	Histone acetyltransferase RTT109
3q35	B	Saccharomyces cerevisiae	6334	NA	P53853	Vacuolar protein sorting-associated protein 75
3q35	A	Saccharomyces cerevisiae	6351#6355#6974#10468#10526#16573#30702#43007#43618#43966#97043#1990414#2001032	4402#5515#10484#16740#32931	Q07794	Histone acetyltransferase RTT109
3q66	A	Saccharomyces cerevisiae	6303#6334#15031#35066#43085#2000617	5515#10698#42393#42802	P53853	Vacuolar protein sorting-associated protein 75
3q66	B	Saccharomyces cerevisiae	6303#6334#15031#35066#43085#2000617	5515#10698#42393#42802	P53853	Vacuolar protein sorting-associated protein 75
3q66	C	Saccharomyces cerevisiae	6351#6355#6974#10468#10526#16573#30702#43007#43618#43966#97043#1990414#2001032	4402#5515#10484#16740#32931	Q07794	Histone acetyltransferase RTT109
3q68	A	Saccharomyces cerevisiae	6303#6334#15031#35066#43085#2000617	5515#10698#42393#42802	P53853	Vacuolar protein sorting-associated protein 75
3q68	B	Saccharomyces cerevisiae	6303#6334#15031#35066#43085#2000617	5515#10698#42393#42802	P53853	Vacuolar protein sorting-associated protein 75
3q68	C	Saccharomyces cerevisiae	6351#6355#6974#10468#10526#16573#30702#43007#43618#43966#97043#1990414#2001032	4402#5515#10484#16740#32931	Q07794	Histone acetyltransferase RTT109
3q9b	A	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9b	B	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9b	C	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9b	D	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9b	E	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9b	F	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9b	G	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9b	H	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9b	I	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9b	J	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9b	K	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9b	L	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9c	A	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9c	B	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9c	C	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9c	D	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9c	E	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9c	F	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9c	G	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9c	H	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9c	I	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9c	J	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9c	K	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9c	L	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9e	A	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9e	B	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9e	C	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9e	D	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9e	E	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9e	F	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9e	G	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9e	H	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9e	I	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9e	J	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9e	K	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9e	L	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9f	A	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9f	B	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9f	C	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9f	D	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9f	E	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9f	F	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9f	G	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9f	H	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9f	I	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9f	J	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9f	K	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3q9f	L	Mycoplana ramosa	NA	16787#46872#47609#47611	Q48935	Acetylpolyamine amidohydrolase
3qah	A	Homo sapiens	6355#16573	4402	Q9H7Z6	Histone acetyltransferase KAT8
3qby	H	synthetic construct	NA	NA	P62805	Histone H4
3qby	A	Homo sapiens	NA	NA	Q7Z4V5	Hepatoma-derived growth factor-related protein 2
3qby	B	Homo sapiens	NA	NA	Q7Z4V5	Hepatoma-derived growth factor-related protein 2
3qby	C	Homo sapiens	NA	NA	Q7Z4V5	Hepatoma-derived growth factor-related protein 2
3qj6	T	Homo sapiens	NA	NA	P68431	Histone H3.1
3qj6	A	Homo sapiens	NA	NA	Q7Z4V5	Hepatoma-derived growth factor-related protein 2
3qkj	A	Homo sapiens	NA	NA	Q9UBC3	DNA (cytosine-5)-methyltransferase 3B
3qkj	B	Homo sapiens	NA	NA	Q9UBC3	DNA (cytosine-5)-methyltransferase 3B
3qkj	C	Homo sapiens	NA	NA	Q9UBC3	DNA (cytosine-5)-methyltransferase 3B
3qkj	D	Homo sapiens	NA	NA	Q9UBC3	DNA (cytosine-5)-methyltransferase 3B
3ql9	A	Homo sapiens	NA	NA	P46100	Transcriptional regulator ATRX
3ql9	C	Homo sapiens	NA	NA	P84243	Histone H3.3
3qla	A	Homo sapiens	NA	NA	P46100	Transcriptional regulator ATRX
3qla	D	Homo sapiens	NA	NA	P46100	Transcriptional regulator ATRX
3qla	C	Homo sapiens	NA	NA	P84243	Histone H3.3
3qla	F	Homo sapiens	NA	NA	P84243	Histone H3.3
3qlc	A	Homo sapiens	NA	NA	P46100	Transcriptional regulator ATRX
3qlc	B	Homo sapiens	NA	NA	P46100	Transcriptional regulator ATRX
3qlc	C	Homo sapiens	NA	NA	P84243	Histone H3.3
3qlc	D	Homo sapiens	NA	NA	P84243	Histone H3.3
3qln	A	Homo sapiens	NA	NA	P46100	Transcriptional regulator ATRX
3qln	B	Homo sapiens	NA	NA	P46100	Transcriptional regulator ATRX
3qm0	A	Saccharomyces cerevisiae	6355#16573#43618	4402#10484	Q07794	Histone acetyltransferase RTT109
3qo2	P	synthetic construct	NA	NA	P68431	Histone H3.1
3qo2	Q	synthetic construct	NA	NA	P68431	Histone H3.1
3qo2	R	synthetic construct	NA	NA	P68431	Histone H3.1
3qo2	S	synthetic construct	NA	NA	P68431	Histone H3.1
3qo2	A	Homo sapiens	NA	NA	Q99549	M-phase phosphoprotein 8
3qo2	B	Homo sapiens	NA	NA	Q99549	M-phase phosphoprotein 8
3qo2	C	Homo sapiens	NA	NA	Q99549	M-phase phosphoprotein 8
3qo2	D	Homo sapiens	NA	NA	Q99549	M-phase phosphoprotein 8
3qow	A	Homo sapiens	34729#51726	18024#31151	Q8TEK3	Histone-lysine N-methyltransferase, H3 lysine-79 specific
3qox	A	Homo sapiens	34729#51726	18024#31151	Q8TEK3	Histone-lysine N-methyltransferase, H3 lysine-79 specific
3qwp	A	Homo sapiens	6325#6334#6469#14904#32259#33138#34968#45184#45944#71549	978#993#1162#5515#8168#16740#18024#46872	Q9H7B4	Histone-lysine N-methyltransferase SMYD3
3qwv	A	Mus musculus	122#6325#6351#6355#7507#8285#10452#16571#18026#18027#32259#34968#43516	993#2039#5515#8168#16279#16740#18024#46872#46975	Q8R5A0	N-lysine methyltransferase SMYD2
3qww	A	Mus musculus	122#6325#6351#6355#7507#8285#10452#16571#18026#18027#32259#34968#43516	993#2039#5515#8168#16279#16740#18024#46872#46975	Q8R5A0	N-lysine methyltransferase SMYD2
3qzs	C	Xenopus laevis	NA	NA	P62805	Histone H4
3qzs	D	Xenopus laevis	NA	NA	P62805	Histone H4
3qzs	A	Homo sapiens	NA	35064	Q12830	Nucleosome-remodeling factor subunit BPTF
3qzs	B	Homo sapiens	NA	35064	Q12830	Nucleosome-remodeling factor subunit BPTF
3qzt	B	Xenopus laevis	NA	NA	P62805	Histone H4
3qzt	A	Homo sapiens	NA	35064	Q12830	Nucleosome-remodeling factor subunit BPTF
3qzv	C	Xenopus laevis	NA	NA	P62805	Histone H4
3qzv	A	Homo sapiens	NA	35064	Q12830	Nucleosome-remodeling factor subunit BPTF
3r45	A	Homo sapiens	132#281#6334#7049#16032#34080#51301#51382#71459	3677#3682#5515#31492#46982	P49450	Histone H3-like centromeric protein A
3r45	B	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
3r45	C	Homo sapiens	NA	42393	Q8NCD3	Holliday junction recognition protein
3r93	E	Homo sapiens	NA	NA	Q71DI3	Histone H3.2
3r93	F	Homo sapiens	NA	NA	Q71DI3	Histone H3.2
3r93	G	Homo sapiens	NA	NA	Q71DI3	Histone H3.2
3r93	H	Homo sapiens	NA	NA	Q71DI3	Histone H3.2
3r93	A	Homo sapiens	NA	NA	Q99549	M-phase phosphoprotein 8
3r93	B	Homo sapiens	NA	NA	Q99549	M-phase phosphoprotein 8
3r93	C	Homo sapiens	NA	NA	Q99549	M-phase phosphoprotein 8
3r93	D	Homo sapiens	NA	NA	Q99549	M-phase phosphoprotein 8
3ray	A	Homo sapiens	NA	NA	Q9NQV5	PR domain-containing protein 11
3rcw	A	Homo sapiens	NA	NA	O95696	Bromodomain-containing protein 1
3rcw	B	Homo sapiens	NA	NA	O95696	Bromodomain-containing protein 1
3rcw	C	Homo sapiens	NA	NA	O95696	Bromodomain-containing protein 1
3rcw	D	Homo sapiens	NA	NA	O95696	Bromodomain-containing protein 1
3rcw	E	Homo sapiens	NA	NA	O95696	Bromodomain-containing protein 1
3rcw	F	Homo sapiens	NA	NA	O95696	Bromodomain-containing protein 1
3rcw	G	Homo sapiens	NA	NA	O95696	Bromodomain-containing protein 1
3rcw	H	Homo sapiens	NA	NA	O95696	Bromodomain-containing protein 1
3reh	I	Homo sapiens	NA	NA	NA	NA
3reh	J	Homo sapiens	NA	NA	NA	NA
3reh	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
3reh	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
3reh	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
3reh	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
3reh	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
3reh	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
3reh	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
3reh	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
3rei	I	Homo sapiens	NA	NA	NA	NA
3rei	J	Homo sapiens	NA	NA	NA	NA
3rei	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
3rei	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
3rei	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
3rei	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
3rei	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
3rei	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
3rei	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
3rei	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
3rej	I	Homo sapiens	NA	NA	NA	NA
3rej	J	Homo sapiens	NA	NA	NA	NA
3rej	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
3rej	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
3rej	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
3rej	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
3rej	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
3rej	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
3rej	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
3rej	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
3rek	I	Homo sapiens	NA	NA	NA	NA
3rek	J	Homo sapiens	NA	NA	NA	NA
3rek	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
3rek	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
3rek	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
3rek	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
3rek	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
3rek	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
3rek	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
3rek	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
3rel	I	Homo sapiens	NA	NA	NA	NA
3rel	J	Homo sapiens	NA	NA	NA	NA
3rel	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
3rel	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
3rel	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
3rel	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
3rel	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
3rel	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
3rel	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
3rel	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
3rib	A	Homo sapiens	122#6325#6351#6355#7507#8285#10452#16571#18026#18027#32259#34968#43516#1901796	993#2039#5515#8168#16278#16279#16740#18024#46872#46975	Q9NRG4	N-lysine methyltransferase SMYD2
3rib	B	Homo sapiens	122#6325#6351#6355#7507#8285#10452#16571#18026#18027#32259#34968#43516#1901796	993#2039#5515#8168#16278#16279#16740#18024#46872#46975	Q9NRG4	N-lysine methyltransferase SMYD2
3rig	C	Homo sapiens	NA	NA	P68431	Histone H3.1
3rig	D	Homo sapiens	NA	NA	P68431	Histone H3.1
3rig	A	Homo sapiens	NA	36054#36055#70403	Q9NXA8	NAD-dependent protein deacylase sirtuin-5, mitochondrial
3rig	B	Homo sapiens	NA	36054#36055#70403	Q9NXA8	NAD-dependent protein deacylase sirtuin-5, mitochondrial
3riy	C	Homo sapiens	NA	NA	P68431	Histone H3.1
3riy	D	Homo sapiens	NA	NA	P68431	Histone H3.1
3riy	A	Homo sapiens	NA	36054#36055#70403	Q9NXA8	NAD-dependent protein deacylase sirtuin-5, mitochondrial
3riy	B	Homo sapiens	NA	36054#36055#70403	Q9NXA8	NAD-dependent protein deacylase sirtuin-5, mitochondrial
3rj2	X	Singapore grouper iridovirus	NA	NA	Q5YFA7	NA
3rjw	A	Homo sapiens	34968	2039#8270#18024	Q96KQ7	Histone-lysine N-methyltransferase EHMT2
3rjw	B	Homo sapiens	34968	2039#8270#18024	Q96KQ7	Histone-lysine N-methyltransferase EHMT2
3rls	A	Saccharomyces cerevisiae	6355	NA	P53930	Protein AF-9 homolog
3rls	B	Saccharomyces cerevisiae	6355	NA	P53930	Protein AF-9 homolog
3rq4	A	Homo sapiens	34773	42799	Q86Y97	Histone-lysine N-methyltransferase KMT5C
3rqd	C	Symploca	NA	NA	NA	NA
3rqd	D	Symploca	NA	NA	NA	NA
3rqd	A	Homo sapiens	122#6325#6333#6351#6355#7062#10629#16575#31397#31647#32204#35984#45668#70932#71922#1904322#2000616	3682#4407#5515#8134#16787#19213#30544#32041#46872#51879	Q9BY41	Histone deacetylase 8
3rqd	B	Homo sapiens	122#6325#6333#6351#6355#7062#10629#16575#31397#31647#32204#35984#45668#70932#71922#1904322#2000616	3682#4407#5515#8134#16787#19213#30544#32041#46872#51879	Q9BY41	Histone deacetylase 8
3rsn	A	Homo sapiens	51568	NA	Q9UBL3	Set1/Ash2 histone methyltransferase complex subunit ASH2
3ru0	A	Homo sapiens	6325#6334#6469#14904#32259#33138#34968#45184#45944#71549	978#993#1162#5515#8168#16740#18024#46872	Q9H7B4	Histone-lysine N-methyltransferase SMYD3
3ru0	B	Homo sapiens	6325#6334#6469#14904#32259#33138#34968#45184#45944#71549	978#993#1162#5515#8168#16740#18024#46872	Q9H7B4	Histone-lysine N-methyltransferase SMYD3
3rvh	A	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
3rvh	B	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
3s32	A	Homo sapiens	51568	NA	Q9UBL3	Set1/Ash2 histone methyltransferase complex subunit ASH2
3s7b	A	Homo sapiens	122#6325#6351#6355#7507#8285#10452#16571#18026#18027#32259#34968#43516#1901796	993#2039#5515#8168#16278#16279#16740#18024#46872#46975	Q9NRG4	N-lysine methyltransferase SMYD2
3s7d	I	NA	NA	NA	NA	NA
3s7d	A	Homo sapiens	122#6325#6351#6355#7507#8285#10452#16571#18026#18027#32259#34968#43516#1901796	993#2039#5515#8168#16278#16279#16740#18024#46872#46975	Q9NRG4	N-lysine methyltransferase SMYD2
3s7f	I	NA	NA	NA	NA	NA
3s7f	A	Homo sapiens	122#6325#6351#6355#7507#8285#10452#16571#18026#18027#32259#34968#43516#1901796	993#2039#5515#8168#16278#16279#16740#18024#46872#46975	Q9NRG4	N-lysine methyltransferase SMYD2
3s7j	A	Homo sapiens	122#6325#6351#6355#7507#8285#10452#16571#18026#18027#32259#34968#43516#1901796	993#2039#5515#8168#16278#16279#16740#18024#46872#46975	Q9NRG4	N-lysine methyltransferase SMYD2
3s8p	A	Homo sapiens	34773	42799	Q4FZB7	Histone-lysine N-methyltransferase KMT5B
3s8p	B	Homo sapiens	34773	42799	Q4FZB7	Histone-lysine N-methyltransferase KMT5B
3s8s	A	Homo sapiens	NA	3676#18024#42800	O15047	Histone-lysine N-methyltransferase SETD1A
